  UID   PID  PPID   C STIME   TTY           TIME CMD
  273   546     1   0  6Oct23 ??         0:43.83 /usr/sbin/distnoted agent
  501   553     1   0  6Oct23 ??        95:22.18 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   554     1   0  6Oct23 ??        64:07.26 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
    0   559     1   0  6Oct23 ??        15:44.78 /usr/libexec/aned
  268   570     1   0  6Oct23 ??        21:29.93 /usr/libexec/nearbyd
  501   572     1   0  6Oct23 ??         0:08.25 /usr/libexec/pboard
  501   573     1   0  6Oct23 ??        27:18.48 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
   55   575     1   0  6Oct23 ??         0:43.85 /usr/sbin/distnoted agent
  501   576     1   0  6Oct23 ??         3:50.20 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  235   589     1   0  6Oct23 ??         0:43.69 /usr/sbin/distnoted agent
  501   594     1   0  6Oct23 ??        12:39.68 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  501   595     1   0  6Oct23 ??         7:25.22 /usr/sbin/universalaccessd launchd -s
    0   599     1   0  6Oct23 ??         0:47.41 /usr/sbin/filecoordinationd
  501   622     1   0  6Oct23 ??         7:47.17 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   665     1   0  6Oct23 ??         0:47.74 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   666     1   0  6Oct23 ??         0:47.70 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  501   671     1   0  6Oct23 ??         0:01.99 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   674     1   0  6Oct23 ??         3:27.48 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501   675     1   0  6Oct23 ??         0:10.86 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  501   678     1   0  6Oct23 ??         1:21.58 /usr/libexec/avconferenced
  501   703     1   0  6Oct23 ??         0:53.92 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  501   709     1   0  6Oct23 ??         0:01.74 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  501   711     1   0  6Oct23 ??         0:52.36 /System/Library/CoreServices/diagnostics_agent
  501   712     1   0  6Oct23 ??         1:52.19 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  501   748     1   0  6Oct23 ??         0:34.76 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
   89   782     1   0  6Oct23 ??         0:27.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  501   784     1   0  6Oct23 ??       173:41.15 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
    0   804     1   0  6Oct23 ??         0:00.23 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  277   958     1   0  6Oct23 ??         0:44.41 /usr/sbin/distnoted agent
  265  1009     1   0  6Oct23 ??         0:06.18 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
    0  1020     1   0  6Oct23 ??         0:00.26 /System/Library/CoreServices/Applications/Feedback Assistant.app/Contents/Library/LaunchServices/fbahelperd
  501  1028     1   0 16Dec23 ??        33:47.08 /System/Volumes/Preboot/Cryptexes/App/System/Library/CoreServices/Web App.app/Contents/MacOS/Web App --bundlepath /Users/zaras/Applications/ChatGPT.app --sandboxextension 91876991d8635a8039adee87d342a80e659258e1f3c4574c7b1719f7ea2a5a6b;00;00000000;00000000;00000000;000000000000001a;com.apple.app-sandbox.read;01;0100000f;00000000003d8385;00;/users/zaras/applications/chatgpt.app --bundleidentifier com.apple.Safari.WebApp.95D5C9E2-98FB-4243-9145-FC69148285D6 --
  501  1030     1   0 16Dec23 ??         0:40.07 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
    0  1035     1   0  6Oct23 ??         0:01.40 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  501  1036     1   0  6Oct23 ??         0:00.70 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  501  1069     1   0  6Oct23 ??       399:29.95 /System/Applications/Music.app/Contents/MacOS/Music
  501  1070     1   0  6Oct23 ??        29:29.79 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
